ref,tst,blur_difference,epsnr,noise_difference,psnr,ssim,sort_mos
source_0,source_0_brightness-0.05.png,4.595581,27.66958572,0.091631128,28.71669002,0.928262,0.348732292
source_0,source_0_brightness-0.2.png,20.615875,16.02705531,0.472532338,28.86506097,0.6094738,0.258560863
source_0,source_0_brightness-0.3.png,33.276302,12.87113449,0.689476652,28.98822412,0.38826206,0.16529554
source_0,source_0_brightness0.05.png,-11.4316635,28.53137348,-0.066307036,29.39773049,0.9634926,0.358965189
source_0,source_0_brightness0.2.png,-66.10249,16.15598193,-0.107732863,29.33471658,0.8099526,0.270984584
source_0,source_0_brightness0.3.png,-122.95035,12.75513165,-0.122806066,27.65316598,0.71823657,0.245535759
source_1,source_1_brightness-0.05.png,5.925644,27.94233538,0.069758813,27.79223517,0.9195135,0.341509012
source_1,source_1_brightness-0.2.png,33.323097,16.19285477,0.745243222,28.06378398,0.46105462,0.19319809
source_1,source_1_brightness-0.3.png,53.974266,12.85125636,0.95861977,28.11176569,0.27481005,0.107070044
source_1,source_1_brightness0.05.png,-12.731064,28.97919156,-0.057550092,28.67726327,0.965777,0.296087641
source_1,source_1_brightness0.2.png,-64.12433,16.8466208,-0.115007491,28.69790356,0.7705067,0.301322442
source_1,source_1_brightness0.3.png,-113.33615,13.66972945,-0.12571637,27.43505312,0.65178984,0.251721432
source_2,source_2_brightness-0.05.png,4.2802124,26.55999699,0.024591313,27.62710389,0.96669346,0.325605045
source_2,source_2_brightness-0.2.png,17.947937,14.82892329,0.237488572,28.83332139,0.75380933,0.304555346
source_2,source_2_brightness-0.3.png,30.362366,11.42405167,0.478554492,29.05424947,0.57796276,0.247862782
source_2,source_2_brightness0.05.png,-1.197998,27.62008929,-0.039443793,28.62070876,0.98027945,0.331332909
source_2,source_2_brightness0.2.png,0.34970093,15.84741575,-0.045007579,29.10948809,0.85307515,0.275978026
source_2,source_2_brightness0.3.png,4.0730896,12.93765132,-0.014170913,27.89953108,0.74371916,0.24795016
source_3,source_3_brightness-0.05.png,-1.1306539,26.28299542,-0.031987799,26.26946667,0.99339586,0.345986311
source_3,source_3_brightness-0.2.png,-1.7651029,14.48393679,-0.058332614,28.24110535,0.88987494,0.28910203
source_3,source_3_brightness-0.3.png,-2.1552224,10.97861197,-0.047221858,28.58934358,0.72193503,0.294164828
source_3,source_3_brightness0.05.png,-1.2886133,27.04171199,-0.032427206,27.00282312,0.9949058,0.310141493
source_3,source_3_brightness0.2.png,-2.7491984,14.7793738,-0.056420353,28.18052743,0.9414826,0.333980545
source_3,source_3_brightness0.3.png,-3.7326303,11.58449613,-0.030847273,27.26123881,0.87665343,0.328034163
source_4,source_4_brightness-0.05.png,-0.009348869,28.89332175,-0.00471176,29.36295437,0.99638283,0.301895725
source_4,source_4_brightness-0.2.png,0.92871284,17.15091297,0.002677527,30.22023617,0.96194303,0.341442687
source_4,source_4_brightness-0.3.png,1.5445032,13.63577969,0.011450319,29.76452654,0.9082343,0.344712686
source_4,source_4_brightness0.05.png,-0.7194624,30.33421261,-0.006014172,32.01710223,0.99458325,0.303055186
source_4,source_4_brightness0.2.png,-0.9749327,18.64533775,-0.003115091,31.29502063,0.9722604,0.31674541
source_4,source_4_brightness0.3.png,-1.3359938,15.61556114,-0.002246594,30.97055163,0.96567273,0.347628169
source_5,source_5_brightness-0.05.png,-0.16198349,26.61816599,0.018655814,27.79450122,0.956623,0.341019603
source_5,source_5_brightness-0.2.png,2.056448,15.02614279,0.132231666,29.06571738,0.82013243,0.307408382
source_5,source_5_brightness-0.3.png,4.913685,11.74666281,0.293830397,29.04758922,0.68415105,0.255122189
source_5,source_5_brightness0.05.png,-2.649538,27.38934163,-0.040670033,28.66269286,0.9793176,0.358998939
